id,name,country,event_date,winner,format,slug,player_count,is_approximate_player_count
2,Hollywood WCQ Regional,United States,2022-08-14,Kamal Crooks-Valdez,TCG,hollywood-wcq-regional-2,100,True
3,Arkansas WCQ Regional,United States,2022-08-14,Aaron,TCG,arkansas-wcq-regional-3,50,False
4,Halifax WCQ Regional,Canada,2022-08-14,Sean Carr,TCG,halifax-wcq-regional-4,50,True
5,YCS Rio de Janeiro,Brazil,2022-08-27,João Paulo Lima,TCG,ycs-rio-de-janeiro-5,456,False
7,YCS Niagara Falls,Canada,2022-09-10,Raymond Dai,TCG,ycs-niagara-falls-7,837,False
8,Philadelphia WCQ Regional,United States,2022-09-17,Nicholas Ma,TCG,philadelphia-wcq-regional-8,514,False
9,YCS Charlotte,United States,2022-04-10,Elijah Green,TCG,ycs-charlotte-9,1005,False
10,Dreieich WCQ Regional,Germany,2022-09-18,Joshua Schmidt,TCG,dreieich-wcq-regional-10,366,False
11,LCS Pak Tournament,United States,2021-11-21,Arikado,TCG,lcs-pak-11,500,False
12,Illinois WCQ Regional,United States,2022-08-14,T.J. Richmond,TCG,illinois-wcq-regional-12,500,True
13,Minneapolis WCQ Regional,United States,2022-05-21,Zohair Khan,TCG,minneapolis-wcq-regional-13,323,True
14,Rosario WCQ Regional,Argentina,2022-09-18,M. Orquera,TCG,rosario-wcq-regional-14,109,False
15,Edison NJ WCQ Regional,United States,2022-04-16,Damien Zlatkis,TCG,edison-nj-wcq-regional-15,574,True
16,Colombia WCQ Regional,Colombia,2022-03-19,Joset Rojas,TCG,colombia-wcq-regional-16,214,True
17,Detroit WCQ Regional,United States,2022-04-24,David Roderick Frandle,TCG,detroit-wcq-regional-17,364,False
18,Los Angeles WCQ Regional,United States,2022-09-10,Joseph Rodriguez ,TCG,los-angeles-wcq-regional-18,976,False
19,New Zealand WCQ Regional,New Zealand,2022-01-15,Sam M.,TCG,new-zealand-wcq-regional-19,102,True
20,Vegas WCQ Regional,United States,2022-04-03,Brandon W,TCG,vegas-wcq-regional-20,325,False
21,Lubbock WCQ Regional,United States,2022-03-26,Maxell Nguyen,TCG,lubbock-wcq-regional-21,453,True
22,Hartford WCQ Regional,United States,2022-06-04,James Markowitz,TCG,hartford-wcq-regional-22,354,True
23,Santa Cruz WCQ Regional,Bolivia,2022-09-18,Andrey Flores,TCG,santa-cruz-wcq-regional-23,203,False
24,Christchurch WCQ Regional,New Zealand,2022-10-08,Andrew Doodson,TCG,christchurch-wcq-regional-24,90,False
25,Narellan WCQ Regional,Australia,2022-10-08,Fox,TCG,narellan-wcq-regional-25,122,False
26,Lubbock WCQ Regional,United States,2022-10-08,Bradley William Dowley,TCG,lubbock-wcq-regional-26,104,False
27,YCS Guadalajara,Mexico,2022-05-01,Andres Torres,TCG,ycs-guadalajara-27,1243,False
28,Louisville WCQ Regional,United States,2022-05-21,Alex,TCG,louisville-wcq-regional-28,154,True
29,South Dakota WCQ Regional,United States,2022-08-06,Brooke Mason,TCG,south-dakota-wcq-regional-29,214,True
30,Moncton WCQ Regional,Canada,2022-10-08,Angus Miller,TCG,moncton-wcq-regional-30,104,False
31,Subreddit Discord Common Charity Tournament,United States,2022-10-09,Renren,Common Charity,subreddit-discord-common-charity-tournament-31,35,False
32,Omaha WCQ Regional,United States,2022-10-08, Colin Gurney,TCG,omaha-wcq-regional-32,107,False
33,YCS Utrecht,Netherlands,2022-10-16,Joshua Schmidt,TCG,ycs-utrecht-33,2100,False
34,YCS Minneapolis,United States,2022-10-22,Christopher LeBlanc ,TCG,ycs-minneapolis-34,1085,False
35,Fredericton WCQ Regional,Canada,2022-10-22,Team Solemn Circus,TCG,fredericton-wcq-regional-35,60,False
36,LCS XV,United States,2021-07-18,BoJohn14,TCG,lcs-xv-36,384,False
37,LCS XI,United States,2021-03-13,Ben Kreutzkamp,TCG,lcs-xi-37,374,False
38,Catskill WCQ Regional,United States,2022-10-29,Shunping Xu,TCG,catskill-ny-regional-38,400,False
39,Tulsa WCQ Regional,United States,2022-10-29,,TCG,tulsa-wcq-regional-39,417,False
40,Montreal WCQ Regional,Canada,2022-10-29,Mustapha (TheMooseYGO),TCG,montreal-wcq-regional-40,104,False
41,Side Deck Remote Duel Regional Qualifier,United States,2022-10-30,Shunping Xu,TCG,side-deck-remote-duel-regional-qualifier-41,50,False
42,YCS Pasadena 2022,United States,2022-11-06,Hani Yasser Jawhari,TCG,ycs-pasadena-2022-42,1805,False
43,Florida WCQ Regional,United States,2022-11-05,Daniel Giancola,TCG,florida-regional-43,105,False
44,Arkansas WCQ Regional,United States,2022-11-06,,TCG,arkansas-wcq-regional-44,86,False
45,West Virginia WCQ Regional,United States,2022-11-06,Louis Thomas Orem,TCG,west-virginia-wcq-regional-45,122,False
46,Merida WCQ Regional,Mexico,2022-11-06,Raúl Aguilar,TCG,merida-wcq-regional-46,104,False
47,YCS Dortmund,Germany,2022-11-12,Vincenzo Orofino,TCG,ycs-dortmund-47,2580,False
48,Hamilton WCQ Regional,New Zealand,2022-11-12,Michael D,TCG,hamilton-wcq-regional-48,66,False
49,Wichita WCQ Regional,United States,2022-11-12,Roman Kelley,TCG,wichita-wcq-regional-49,102,False
50,EU Remote Duel YCS (January 2022),Germany,2022-01-25,Simon He,TCG,eu-remote-duel-ycs-january-2022-50,1284,False
51,DE Remote Duel Extravaganza (August),Germany,2021-08-22,Eteeyen I.,TCG,de-remote-duel-extravaganza-51,69,False
52,YCS Costa Rica,Costa Rica,2022-11-26,Jesse Kotton,TCG,ycs-costa-rica-52,445,False
53,LCS XII,United States,2021-04-11,Sebastian Todd,TCG,lcs-xii-53,252,False
54,Hartford WCQ Regional,United States,2022-04-30,Elias Tsirogiannis,TCG,hartford-wcq-regional-54,254,True
55,Nancy WCQ Regional,France,2022-11-27,Rouget Yannis,TCG,nancy-wcq-regional-55,141,False
56,Santa Clara WCQ Regional,United States,2022-10-29,Alex Barker,TCG,santa-clara-wcq-regional-56,204,False
57,Bielefeld WCQ Regional,Germany,2022-11-27,Din Khang Pham,TCG,bielefeld-wcq-regional-57,108,False
58,Detroit WCQ Regional,United States,2022-12-03,Steven Santoli,TCG,detroit-wcq-regional-58,100,False
59,YCS Utrecht,Germany,2020-02-23,Ryhan Jabri,TCG,ycs-utrecht-59,2227,False
60,Utrecht WCQ Regional,Germany,2019-06-30,Gabriel Soussi,TCG,utrecht-wcq-regional-60,1900,False
61,Montpellier WCQ Regional,France,2022-12-04,Burgals Pierre,TCG,montpellier-wcq-regional-61,124,False
62,Sioux Falls WCQ Regional,United States,2022-12-04,Philip Burton,TCG,sioux-falls-wcq-regional-62,200,False
63,Tinley Park WCQ Regional,United States,2022-12-04,Charley Futch,TCG,tinley-park-wcq-regional-63,250,False
64,Wroclaw WCQ Regional,Poland,2022-12-04,Rene H.,TCG,wroclaw-wcq-regional-64,24,False
65,NA Remote Duel YCS (December 2022),United States,2022-12-11,Cristian Urena,TCG,na-remote-duel-ycs-december-2022-65,514,False
66,Toronto WCQ Regional,Canada,2018-09-18,Jesse Kotton,TCG,toronto-wcq-regional-66,322,False
67,Managua WCQ Regional,Nicaragua,2022-12-04,Kevin Gonzalez,TCG,managua-wcq-regional-67,85,False
68,YCS Knoxville,United States,2019-06-02,Jesse Kotton,TCG,ycs-knoxville-68,895,False
69,LCS XIV,United States,2021-06-20,Blake Funderburke,TCG,lcs-xiv-69,342,False
70,Asunción WCQ Regional,Paraguay,2022-12-03,Oscar Palacios,TCG,asuncion-wcq-regional-70,95,False
71,Philadelphia WCQ Regional (December 2022),United States,2022-12-17,Johnny Nguyen,TCG,philadelphia-wcq-regional-december-2022-71,480,False
72,European WCQ 2022,Belgium,2022-08-21,Marcus Patel,TCG,european-wcq-2022-72,2078,False
73,YCS Pasadena,United States,2019-11-24,Kobe Short,TCG,ycs-pasadena-73,1578,False
74,Fort Worth WCQ Regional (December 2022),United States,2022-12-17,Kobe Short,TCG,fort-worth-wcq-regional-december-2022-74,408,False
75,Gamer's Choice WCQ Regional,United States,2022-12-18,Edwin Malave,TCG,gamer-s-choice-wcq-regional-75,103,False
76,Dublin WCQ Regional,Ireland,2022-12-12,Adam Crowe,TCG,dublin-wcq-regional-76,58,False
77,Las Vegas WCQ Regional,United States,2022-12-17,Austin Anthony,TCG,las-vegas-wcq-regional-77,155,False
78,YCS Sydney,Australia,2019-01-13,Onur Gezer,TCG,ycs-sydney-78,1050,False
79,Madison WCQ Regional (December 2022),United States,2022-12-17,Cody Makela,TCG,madison-wcq-regional-december-2022-79,200,False
80,German Open (Frankfurt WCQ Regional),Germany,2022-12-18,Din Khang Pham,TCG,german-open-frankfurt-wcq-regional-80,734,False
81,Tegucigalpa WCQ Regional,Honduras,2022-12-11,Luis Arturo,TCG,tegucigalpa-wcq-regional-81,64,False
82,Havana WCQ Regional,Cuba,2022-12-18,Eddy Valdes,TCG,havana-wcq-regional-82,70,False
83,Barcelona WCQ Regional,Spain,2022-12-03,Eithan Brenner,TCG,barcelona-wcq-regional-83,160,False
84,Coatzacoalcos WCQ Regional,Mexico,2022-12-18,Daniel Humberto,TCG,coatzacoalcos-wcq-regional-84,150,False
85,Nantes WCQ Regional,France,2022-12-04,,TCG,nantes-wcq-regional-85,116,False
86,Seattle WCQ Regional,United States,2022-12-18,Matthew Bauer,TCG,seattle-wcq-regional-86,235,False
87,Buenos Aires WCQ Regional,Argentina,2022-12-17,Nico Caceres,TCG,buenos-aires-wcq-regional-87,151,False
88,Barcelona WCQ Regional,Spain,2022-10-09,Julio Valls,TCG,barcelona-wcq-regional-88,150,False
89,Jerusalem WCQ Regional,Israel,2022-12-24,Ben Salach,TCG,jerusalem-wcq-regional-89,60,False
90,Ciudad de Panama WCQ Regional,Panama,2022-12-17,Joel Santos,TCG,ciudad-de-panama-wcq-regional-90,68,False
91,Ciudad de Panama WCQ Regional,Panama,2022-09-11,Richard Garcia,TCG,ciudad-de-panama-wcq-regional-91,59,False
92,Chiriqui WCQ Regional,Panama,2019-12-22,Aurelio Ferguson,TCG,chiriqui-wcq-regional-92,41,False
93,Chiriqui WCQ Regional,Panama,2019-09-15,Rolando Gordon,TCG,chiriqui-wcq-regional-93,39,True
94,Ciudad de Panama WCQ Regional,Panama,2019-09-01,Angel Ovalle,TCG,ciudad-de-panama-wcq-regional-94,69,False
95,Ciudad de Panama WCQ Regional,Panama,2018-12-16,Raymond Rodriguez,TCG,ciudad-de-panama-wcq-regional-95,42,True
96,Ciudad de Panama WCQ Regional,Panama,2022-12-18,Joel Santos,TCG,ciudad-de-panama-wcq-regional-96,87,False
97,Ljubljana WCQ Regional,Slovenia,2022-12-18,Boštjan Kociper,TCG,ljubljana-wcq-regional-97,80,False
98,Renate WCQ Regional,Italy,2019-11-17,Collins Amiekhamhe,TCG,renate-wcq-regional-98,58,False
99,Klagenfurt WCQ Regional,Austria,2023-01-07,Kajetan Krnel,TCG,klagenfurt-wcq-regional-99,40,False
100,YCS Sydney,Australia,2023-01-08,Jesse Kotton,TCG,ycs-sydney-100,751,False
101,Madrid WCQ Regional,Spain,2019-03-23,Eduardo Fernandez,TCG,madrid-wcq-regional-101,64,True
102,Tulsa WCQ Regional,United States,2019-04-07,Brent Winters,TCG,tulsa-wcq-regional-102,129,True
103,Altoona WCQ Regional,United States,2019-04-13,Romello Wilson,TCG,altoona-wcq-regional-103,129,False
104,Omaha WCQ Regional,United States,2019-02-10,Gavin Andrews,TCG,omaha-wcq-regional-104,101,True
105,Italian Open (Bologna WCQ Regional),Italy,2023-01-08,Vincenzo Orofino,TCG,italian-open-bologna-wcq-regional-105,450,False
106,Lenexa WCQ Regional,United States,2019-05-25,Dakota Ritchey,TCG,lenexa-wcq-regional-106,104,False
107,Köln WCQ Regional,Germany,2023-01-07,Alexander S.,TCG,köln-wcq-regional-107,264,False
108,Utah WCQ Regional,United States,2023-01-07,Kevin Ponce,TCG,utah-wcq-regional-108,116,False
109,Albuquerque WCQ Regional,United States,2023-01-08,,TCG,albuquerque-wcq-regional-109,81,False
110,Wellington WCQ Regional,New Zealand,2023-01-14,Shayne B.,TCG,wellington-wcq-regional-110,80,False
111,Viamão WCQ Regional,Brazil,2023-01-14,Leonardo Santos,TCG,viamao-wcq-regional-111,48,False
112,Lubbock WCQ Regional,United States,2023-01-14,Maxell Ngoc,TCG,lubbock-wcq-regional-112,200,False
113,St. Louis WCQ Regional,United States,2018-12-09,Keem,TCG,st-louis-wcq-regional-113,121,True
114,Cologne WCQ Regional,Germany,2017-04-08,Pierre K,TCG,cologne-wcq-regional-114,282,True
115,Frankfurt WCQ Regional,Germany,2016-05-07,Andreas G,TCG,frankfurt-wcq-regional-115,150,True
116,Frankfurt WCQ Regional,Germany,2017-04-01,Nico S,TCG,frankfurt-wcq-regional-116,117,True
117,Frankfurt WCQ Regional,Germany,2016-10-22,Jean-Philipp S.,TCG,frankfurt-wcq-regional-117,145,True
118,Queens WCQ Regional,United States,2023-01-07,Hansel Aguero,TCG,queens-wcq-regional-118,402,False
119,Rome WCQ Regional,Italy,2023-01-15,Alessio Cefola,TCG,rome-wcq-regional-119,205,False
120,Cochabamba WCQ Regional,Bolivia,2023-01-14,Fernando Morales Mamani,TCG,cochabamba-wcq-regional-120,66,False
121,Kaunas WCQ Regional,Lithuania,2023-01-21,Žilvinas Banišauskas,TCG,kaunas-wcq-regional-121,40,False
122,The Side Deck Remote Duel WCQ Regional,United States,2023-01-21,Cameron Neal,TCG,the-side-deck-remote-duel-wcq-regional-122,54,False
123,Christchurch WCQ Regional (January 2023),New Zealand,2023-01-21,Liam Gill,TCG,christchurch-wcq-regional-january-2023-123,70,False
124,LATAM Remote Duel YCS,Brazil,2023-01-22,Jhon David Guerrero Sanchez,TCG,latam-remote-duel-ycs-124,378,False
125,Puerto Ordaz WCQ Regional,Venezuela,2023-01-07,Emil Beecha,TCG,puerto-ordaz-wcq-regional-125,60,False
126,Penrith WCQ Regional,Australia,2023-01-22,Andy Liu,TCG,penrith-wcq-regional-126,100,False
127,Wellington WCQ Regional,New Zealand,2020-02-22,Brady,TCG,wellington-wcq-regional-127,62,True
128,Auckland WCQ Regional,New Zealand,2020-02-02,Dino Spasovski,TCG,auckland-wcq-regional-128,58,True
129,Dunedin WCQ Regional,New Zealand,2020-03-15,Keelan P.,TCG,dunedin-wcq-regional-129,54,True
130,Hamilton WCQ Regional,New Zealand,2020-02-22,Dino S,TCG,hamilton-wcq-regional-130,56,True
131,Freiburg WCQ Regional,Germany,2023-01-28,Richard Schaber,TCG,freiburg-wcq-regional-131,122,False
132,Preston WCQ Regional,United Kingdom,2023-01-28,James Woodward,TCG,preston-wcq-regional-132,97,False
133,Berlin WCQ Regional,Germany,2023-01-28,Ben Krutzkamp,TCG,berlin-wcq-regional-133,142,False
134,Copenhagen WCQ Regional,Denmark,2023-01-22,Philip Nørhart,TCG,copenhagen-wcq-regional-134,40,False
135,Portsmouth WCQ Regional,United Kingdom,2023-01-29,Conor Zhou,TCG,portsmouth-wcq-regional-135,128,False
136,Glasgow WCQ Regional,United Kingdom,2023-01-29,James Woodward,TCG,glasgow-wcq-regional-136,123,False
137,Arnhem WCQ Regional,Netherlands,2023-01-29,Rutger van Nijen,TCG,arnhem-wcq-regional-137,64,False
138,Bern WCQ Regional,Switzerland,2023-01-28,Guillaume Maron,TCG,bern-wcq-regional-138,64,False
139,Eclubenz WCQ Regional,Switzerland,2023-01-29,Jeremy Bays,TCG,eclubenz-wcq-regional-139,52,False
140,Bari WCQ Regional,Italy,2023-01-29,,TCG,bari-wcq-regional-140,150,False
141,Eclubens WCQ Regional,Switzerland,2023-01-29,,TCG,eclubens-wcq-regional-141,100,False
142,Vantaa WCQ Regional,Finland,2023-01-29,,TCG,vantaa-wcq-regional-142,32,False
143,Richmond WCQ Regional,United States,2023-02-04,Chase Conklin,TCG,richmond-wcq-regional-143,270,False
144,Master Circuit Series Week 1,United States,2023-02-04,Tyrese,Master Duel,master-circuit-series-week-1-144,235,False
145,Bogota WCQ Regional,Colombia,2019-03-03,Camilo Antonio Sanchez,TCG,bogota-wcq-regional-145,54,True
146,Chiminike WCQ Regional,Honduras,2018-02-10,Mario Moncada,TCG,chiminike-wcq-regional-146,56,True
147,Honduras WCQ Regional,Honduras,2018-11-04,Polidecto Jesus,TCG,honduras-wcq-regional-147,118,True
148,Wellington WCQ Regional,New Zealand,2018-03-10,Thomas Bailey,TCG,wellington-wcq-regional-148,53,True
149,La Spezia WCQ Regional,Italy,2023-01-29,Corrado Zecca,TCG,la-spezia-wcq-regional-149,74,False
150,St. Louis WCQ Regional,United States,2023-01-07,Peter Kontominas,TCG,st-louis-wcq-regional-150,80,False
151,Saint Andre WCQ Regional,France,2018-10-07,Bègue Jonathan,TCG,saint-andre-wcq-regional-151,37,False
152,Dunedin WCQ Regional,New Zealand,2019-03-31,Michael Soper,TCG,dunedin-wcq-regional-152,35,True
153,Whangarei WCQ Regional,New Zealand,2019-11-02,Naibo Yin,TCG,whangarei-wcq-regional-153,34,True
154,Hastings WCQ Regional,New Zealand,2019-12-15,Russel Tangiwai,TCG,hastings-wcq-regional-154,32,True
155,YCS Lyon,France,2023-02-12,Christopher LeBlanc,TCG,ycs-lyon-155,2397,False
156,Master Circuit Series Week 2,United States,2023-02-12,WiredDragon,Master Duel,master-circuit-series-week-2-156,233,False
157,Team YCS Mexico City,Mexico,2023-02-11,Donnel Fan Club,TCG,team-ycs-mexico-city-157,1008,False
158,Seattle WCQ Regional (Feb 2023),United States,2023-02-11,Leonidas McMillan,TCG,seattle-wcq-regional-feb-2023-158,213,False
159,Debrecen WCQ Regional,Hungary,2023-02-18,Havasi Zsombor,TCG,debrecen-wcq-regional-159,50,False
160,Master Circuit Series Week 3,United States,2023-02-18,Steve Cox,Master Duel,master-circuit-series-week-3-160,230,False
161,Team YCS Vegas,United States,2023-02-18,Back For Seconds,TCG,team-ycs-vegas-161,1155,False
162,Hamburg WCQ Regional,Germany,2023-02-18,Dinh Khang Pham,TCG,hamburg-wcq-regional-162,61,False
163,Pennsylvania WCQ Regional,United States,2023-02-18,,TCG,pennsylvania-wcq-regional-163,220,False
164,Santo Domingo WCQ Regional,Dominican Republic,2023-02-18,Giancarlo Valdez,TCG,santo-domingo-wcq-regional-164,74,False
165,Auckland WCQ Regional,New Zealand,2019-10-13,Naibo Yin,TCG,auckland-wcq-regional-165,56,True
166,Auckland WCQ Regional,New Zealand,2019-02-23,Dino Spasovski,TCG,auckland-wcq-regional-166,44,True
167,Wellington WCQ Regional,New Zealand,2018-01-06,Josh McMillan,TCG,wellington-wcq-regional-167,37,False
168,Christchurch WCQ Regional,New Zealand,2018-11-11,Andrew Doodson,TCG,christchurch-wcq-regional-168,42,True
169,Auckland WCQ Regional,New Zealand,2017-01-07,Gavin Wu,TCG,auckland-wcq-regional-169,36,True
170,Christchurch WCQ Regional,New Zealand,2018-11-18,James Rodriguez,TCG,christchurch-wcq-regional-170,34,True
171,Bogota WCQ Regional,Colombia,2023-02-19,Angel David Avila Mesa,TCG,bogota-wcq-regional-171,86,True
172,Dublin WCQ Regional,Ireland,2023-02-26,Deano Mclelland,TCG,dublin-wcq-regional-172,42,False
173,Master Circuit Series Week 4,United States,2023-02-26,Vinnie,Master Duel,master-circuit-series-week-4-173,225,False
174,Moncton WCQ Regional,Canada,2023-02-25,Josh Kirby,TCG,moncton-wcq-regional-174,64,True
175,Ljubljana WCQ Regional,Slovenia,2023-02-26,,TCG,ljubljana-wcq-regional-175,73,False
176,Eindhoven WCQ Regional,Netherlands,2023-02-26,,TCG,eindhoven-wcq-regional-176,93,False
177,Master Circuit Series Week 5,United States,2023-03-04,Roarkallos,Master Duel,master-circuit-series-week-5-177,220,False
178,Shreveport WCQ Regional,United States,2023-02-25,Creighton Pree,TCG,shreveport-wcq-regional-178,106,False
179,León WCQ Regional,Spain,2023-02-26,Carlos Coronel,TCG,leon-wcq-regional-179,78,True
180,Zagreb WCQ Regional,Croatia,2023-02-25,Alen Kazalac,TCG,zagreb-wcq-regional-180,93,False
181,New Zealand Open (Auckland WCQ Regional),New Zealand,2023-03-04,Sinisa Blazic,TCG,new-zealand-open-auckland-wcq-regional-181,104,False
182,São Paulo WCQ Regional,Brazil,2023-02-26,Vitor Koerner,TCG,são-paulo-wcq-regional-182,147,True
183,San Pedro Sula,Honduras,2023-02-26,Mario Moncada,TCG,san-pedro-sula-183,112,False
184,Santa Cruz de la Sierra WCQ Regional,Bolivia,2023-02-26,Ricardo Von Landwuest,TCG,santa-cruz-de-la-sierra-wcq-regional-184,112,True
185,Oaxaca de Juárez WCQ Regional,Mexico,2023-02-26,Ricardo Ruiz Mendoza,TCG,oaxaca-de-juarez-wcq-regional-185,112,True
186,Duluth WCQ Regional,United States,2023-02-26,Dylan Fox,TCG,duluth-wcq-regional-186,414,False
187,Altamura WCQ Regional,Italy,2023-02-26,Giuseppe Calabrese,TCG,altamura-wcq-regional-187,116,False
188,Master Circuit Series Week 6,United States,2023-03-11,GaryTheMerch,Master Duel,master-circuit-series-week-6-188,231,False
189,Arica WCQ Regional,Chile,2023-02-26,Andres Arredondo,TCG,arica-wcq-regional-189,108,True
190,YCS Lima,Peru,2023-03-12,Jhon David Guerrero Sanchez,TCG,ycs-lima-190,600,False
191,Buenos Aires WCQ Regional,Argentina,2019-09-08,Leonardo Leone,TCG,buenos-aires-wcq-regional-191,56,True
192,Christchurch WCQ Regional,New Zealand,2020-02-02,Phillip A.,TCG,christchurch-wcq-regional-192,43,True
193,Newcastle WCQ Regional,United Kingdom,2016-04-24,Allisdair Bowman,TCG,newcastle-wcq-regional-193,45,True
194,UK Open Peckham 2023,United Kingdom,2023-03-18,Alessio Cefola,TCG,uk-open-peckham-2023-194,266,False
195,Master Circuit Series Week 7,United States,2023-03-18,Atoning,Master Duel,master-circuit-series-week-7-195,225,False
196,Tulsa WCQ Regional,United States,2019-08-25,Taylor Sullivan,TCG,tulsa-wcq-regional-196,110,True
197,Fargo WCQ Regional,United States,2018-11-11,Bryce Jones,TCG,fargo-wcq-regional-197,89,True
198,Bloomington WCQ Regional,United States,2018-12-09,Mason Mattila,TCG,bloomington-wcq-regional-198,78,True
199,Omaha WCQ Regional,United States,2019-09-01,Dallas Hoffman,TCG,omaha-wcq-regional-199,76,True
200,Dutch Open (Hekelingen WCQ Regional),Netherlands,2023-03-19,Din Khang Pham,TCG,dutch-open-hekelingen-wcq-regional-200,256,False
202,Master Circuit Series Week 8,United States,2023-03-25,Raye (Raymond Dai),Master Duel,master-circuit-series-week-8-202,200,False
203,Kissimmee WCQ Regional,United States,2023-03-18,Illya Higdon,TCG,kissimmee-wcq-regional-203,452,True
204,Dunedin WCQ Regional,New Zealand,2023-03-18,Andrew Doodson,TCG,dunedin-wcq-regional-204,25,False
205,Omaha WCQ Regional,United States,2023-03-19,,TCG,omaha-wcq-regional-205,194,False
206,Mulhouse WCQ Regional,France,2023-03-26,,TCG,mulhouse-wcq-regional-206,278,False
207,Reading WCQ Regional,United States,2023-03-18,Tyler Bendel,TCG,reading-wcq-regional-207,250,True
208,Philadelphia WCQ Regional,United States,2023-03-25,Enzo Fiallos,TCG,philadelphia-wcq-regional-208,550,False
209,Monterrey WCQ Regional,Mexico,2023-03-19,Adrian Ambriz Sosa,TCG,monterrey-wcq-regional-209,140,True
210,Indianapolis WCQ Regional,United States,2023-03-18,Eli Mcardle,TCG,indianapolis-wcq-regional-210,600,False
211,Dartmouth WCQ Regional,Canada,2023-03-25,Josh Kirby,TCG,dartmouth-wcq-regional-211,80,False
212,Kaiserslautern WCQ Regional,Germany,2023-03-19,Adrian Dursun,TCG,kaiserslautern-wcq-regional-212,170,True
213,Albania WCQ Regional,Albania,2023-03-26,Lorin K.,TCG,albania-wcq-regional-213,25,False
214,Pasadena WCQ Regional,United States,2020-02-09,Ulises Aispuro,TCG,pasadena-wcq-regional-214,702,False
215,San Antonio WCQ Regional,United States,2020-03-01,Kobe Short,TCG,san-antonio-wcq-regional-215,120,True
216,Lenexa WCQ Regional,United States,2020-03-01,Denny Vu,TCG,lenexa-wcq-regional-216,134,True
217,Montreal WCQ Regional,Canada,2020-02-02,Daniel Cook,TCG,montreal-wcq-regional-217,98,True
218,Montreal WCQ Regional,Canada,2019-02-17,Kevin Rodrigues,TCG,montreal-wcq-regional-218,87,True
219,YCS London,United Kingdom,2023-04-01,Samir Bachar,TCG,ycs-london-219,3600,False
220,YCS Los Angeles,United States,2023-04-01,Paulie Aronson,TCG,ycs-los-angeles-220,3225,False
221,YCS Bogota,Colombia,2023-04-01,Esteban Velásquez,TCG,ycs-bogota-221,1126,False
222,Athens WCQ Regional,Greece,2023-04-09,Stavros Vitsentsatos,TCG,athens-wcq-regional-222,248,False
223,Guayaquil WCQ Regional,Ecuador,2023-04-08,Alejandro Ordoñes,TCG,guayaquil-wcq-regional-223,100,False
224,Fort Worth WCQ Regional,United States,2023-04-08,Zaky Obeid,TCG,fort-worth-wcq-regional-224,550,False
225,Zaragoza WCQ Regional,Spain,2023-04-08,,TCG,zaragoza-wcq-regional-225,80,True
226,Thalwil WCQ Regional,Switzerland,2023-04-08,Firat Karatas,TCG,thalwil-wcq-regional-226,142,False
227,Las Vegas WCQ Regional,United States,2023-04-09,Connor William Albury,TCG,las-vegas-wcq-regional-227,140,True
228,Master Circuit Series Week 9,United States,2023-04-09,Atoning,Master Duel,master-circuit-series-week-9-228,200,False
229,Tuscaloosa WCQ Regional,United States,2023-04-09,James Beasley,TCG,tuscaloosa-wcq-regional-229,266,False
230,Barcelona WCQ Regional,Spain,2023-04-08,Jordi Wang,TCG,barcelona-wcq-regional-230,90,True
231,Niagara WCQ Regional,United States,2023-04-08,Lucas,TCG,niagara-wcq-regional-231,150,True
232,Köln WCQ Regional,Germany,2023-03-25,Ben Kreutzkamp,TCG,köln-wcq-regional-232,260,False
233,Amadora WCQ Regional,Portugal,2023-03-26,Afonso Marcelino,TCG,amadora-wcq-regional-233,50,False
234,Cheltenham WCQ Regional,United Kingdom,2023-04-06,Jessica Robinson,TCG,cheltenham-wcq-regional-234,90,False
235,ARGCS - Las Vegas Nevada,United States,2018-01-14,Joel White,TCG,argcs-las-vegas-nevada-235,128,True
236,Lima WCQ Regional,Peru,2023-04-08,Luis Huamanchumo,TCG,lima-wcq-regional-236,110,True
237,YCS Prague II,Czech Republic,2017-11-25,Raphael Neven,TCG,ycs-prague-ii-237,1027,False
238,Vantaa WCQ Regional (April 2023),Finland,2023-04-01,,TCG,vantaa-wcq-regional-april-2023-238,48,False
239,LCS XIII,United States,2021-05-09,B Hess,TCG,lcs-xiii-239,206,True
240,Vitrolles WCQ Regional,France,2023-03-25,Camille Chanal,TCG,vitrolles-wcq-regional-240,150,True
241,Santiago WCQ Regional,Chile,2023-03-18,Sebastian Sieguel,TCG,santiago-wcq-regional-241,128,False
242,Odense WCQ Regional,Denmark,2023-03-25,Max Hjort Nielsen,TCG,odense-wcq-regional-242,60,True
243,Chatswood WCQ Regional,Australia,2023-04-15,Kiet Ngo,TCG,chatswood-wcq-regional-243,72,False
244,Master Circuit Series Week 10,United States,2023-04-15,Jesse Kotton,Master Duel,master-circuit-series-week-10-244,205,False
245,Mendenhall WCQ Regional,United States,2023-04-15,Ashton Khamphilavong,TCG,mendenhall-wcq-regional-245,160,False
246,Knoxville WCQ Regional,United States,2023-04-15,Elijah Green,TCG,knoxville-wcq-regional-246,340,False
247,The Side Deck Remote WCQ Regional,United States,2023-04-15,Nick Santucci,TCG,the-side-deck-remote-wcq-regional-247,116,False
248,German Open (Karlsruhe WCQ Regional),Germany,2023-04-15,Niko Schlierkamp,TCG,german-open-karlsruhe-wcq-regional-248,480,False
249,Zagreb WCQ Regional (April Spring Challenge),Croatia,2023-04-15,Karlo Lukic,TCG,zagreb-wcq-regional-april-spring-challenge-249,83,False
